[url][key][hash],source,Translation
13D0F48D43E7FFA0D8C21C842CBFFDCB,Plate Boots,
13D232704EAA646CAAE096BEBB86ABC7,You were exquisite as always. I can only imagine what greater deeds and riches we will accomplish together in the future. Please tell the good news to Montverde.,
13D3287A4F208AF6B62949AC3F08CC51,Guess I'm dealing with a real crisis here. I'll add it to my list of daring adventures.,
13D4DDAD49430E590F953E8405DC5BF1,And I trust that every gold I spend now will return tenfold once the feast wins me new patrons.,
13D86D8345B55A359CA4DFAA67925DA0,What can you tell me about them?,
13DC334042A3D9BD405B98980DA43136,Investments,
13DD269D43EBCEC274D8C0BACE522503,Thank you for sharing. Farewell.,
13DD73DF4B2CA4A611C285BB38809B19,Have you talked with a herbalist?,
13DE303344EC91A6F2FC478042009766,"And now, with Ashbourne out of your way, I suppose your eyes are set on his puppeteer… the so-called Viceroy of Cragkeep, master of whispers and deceit.",
13E42D52406759908F636792D647E7C8,"Unfortunately there's not. We are just trying to survive really, but I heard some whispers about group of people who are trying to help others in the Lowlands.",
13E9F844425342E23BC211BF9A90B35D,"The lifeblood of medieval sustenance, these bountiful crops serve as the foundation for bread, porridge, and other hearty meals. Can be grown on on a farm.",
13EAE0404C7AE7053556FEBC256D0056,Orrinshire,
13EC189B49750E7F01306FA21D8A6C1D,We'd better head out.,
13EC686A46D617FA63D45B93CC3A8011,"You see, our fields are bursting with grain, and we’ve nowhere to store it. The village is thriving. But there’s a problem we didn’t foresee.",
13F13AEC4098023E59A005AA2596AB19,Chronically homeless,
13F1812F4098C1A808781DB928FC0CB4,"It's been hard. The land doesn't yield what it used to, and resources are scarce. But we adapt, finding new ways to make do with what we have.",
13F34A8A4B47FF30A8D3C8BABC256FBF,"If the Halmayans are the ash, then it is ash laid at the altar of Isa. If that damns me, then strike. Let my death be the last sacrifice.",
13F464AD4C8F0ABA7D1B8F9FFD6764F9,I agree. What should we do?,
13FC716945734589FEB403956994954D,"This story is about twin brothers Kael, full of joy, and Ryn, eaten by envy. At a festival, Sorwynn appeared and made them an offer that would make them the richest men in the land. Kael, ever so trusting, agreed, Ryn, started weaving his plan.",
1400AE9046508556FA346695A5F16D20,"Oh you can find them in plenty of villages. You should check in Padstow, Bradford, Farnworth and Horndean.",
1405F4484BC87CD8A46605B5D3BAEFCB,"And because of that, I have to kill you.",
14062A0746283A598735ACBCB5CA82B9,Did you bring everything that I asked for?,
1407A3ED4CB0889C6F2D7E9F11E6C6EE,Ask then!,
1408BF834AD16FC00FB21484E1574942,About the bandages…,
1408ECE741F0380D947ABF905B7B7D14,Examine,
140918C14E451905BB450281BFF6F885,Talk to {Npc}.,
140A9B57444B454A045CCBBC79F95FB2,NARRATIVE,
140BF14A43DB9304B1FACBAF8120D429,Well,
141119314BFF7B31D19651B8871D4513,Loser,
14122A5E4DA997B94B5614A24DD25123,Don’t hide behind Isa. You betrayed us all.,
1412A7C7416D20A93BE5088CBB2D2A7E,Mining Hut,
14166BCB48D59DD71C768AAD1CDEF445,Ask then.,
141CBDF84D93579763F273827AC42DEE,Turns animal skins and pelts into useful materials. You can request a specific product for additional Workforce.,
141D83F24D67D73C7EE734AFA144DBB6,I'll gather those ingredients right away.,
1421FDC14D2A59407FEF2FA9D1899957,[RECORDINGS] Warehouse Tent,
1422842A41C4266830363696D3AE813D,"You can join me, if you want to fight back against those who imprisoned you.",
1425880046DABA0FCF7B34878A8179B4,The wife of one of them asked me to find them. Did you actually see the attack?,
142675CC4172C27B12281C8C0BF5D651,"Thank you, my friend. ring the shipment safely, and I’ll make sure your efforts don’t go unnoticed.",
1428915947178B88BB200BB1843F6D90,Have you changed your mind? I could use your help in rebuilding the village hall.,
1428FE304797811A3E361DB5979DDE02,"Now let’s split, just in case of Halmayans' retaliation. I’ll take the alchemist to the Opportunist’s Bliss.",
142C308E489C9BBD5866A9BF4BEAB768,"The Bradford merchant asked for my help. Apparently, a bandit patrol had been terrorizing the trade routes, stealing his goods and scaring off his customers. The merchant promised a handsome reward if I could deal with the bandits.",
143097994B110F74092897AE821A0941,Weird Note,
14325DCE45A339773ADEDB8FB0EF8375,"I'm deeply sorry, but I don't want to talk with you. I don't know you and it's not wise to talk with strangers about village matters.",
1435E4E14A053B062ED9A6840D809583,"That will send a message to the people that you are not simply a passerby, but instead are looking to settle some roots here.",
143809CD4E6C53E7C56F2997C10C83B7,"No way. If Cyrus doesn’t want to sell his drink, then neither do I.",
143B81E940E0624687F8018A0F316DF2,"Yes, I’ve got it here.",
1442F6054CABE5483697B5A64E504C5A,"Paws, Pestilence and Predicaments",
144D826449968E6BA936E5B4C0FE03B2,"With the crops faring better, how's the mood in the village?",
1452E063431F2FC952E6B19CEF5B74A2,Marlin asked me to go to Aleks Amanita to help with the cure of his friend. I should go talk to him as soon as possible.,
145981544CD7F7DD8B80B59A1218DD45,I accept your challenge.,
145BC19841E6DF0553E7DF87C64DB47C,I agree. I just needed to speak with you to make it seem like I tried. I’ll let her know.,
145E1F914C3467A7C05D178137886B3B,Leave the Halmayan Sigil,
1460329946B040688EDB9AB73ADA7BFB,I'm looking for Sage.,
1460907A4B3D396A84FF0380971C92C2,Darek,
1465D483469579DD867FDF8F69395C91,"This conversation is over, Kug, and so is your reign.",
1468AA6B4A28A5077D475394D6136B52,"There is always something, wanderer.",
146927894F266C645A798FAE9D0A3675,What items do you have available for purchase today?,
146A2E714B40D657D2F58B8D9EB16FBC,"Teodor insists that it wasn't him that stole the chickens and told me that he saw a figure with a sack walking away from he coop. I should investigate the coop, perhaps it has some clues.",
146BA45E4630BA68CD5F64A5A5646866,"The faithful bring their finest wine and mead, pouring it over the shrine. Some shatter goblets in his honor, others, the boldest, offer confessions, for Sorwynn to be the ultimate judge.",
146C98734AED5D155280A5AF529DBCB1,Your loss.,
146EA2644BF928B899E2D19A596742A9,"You have my word, for whatever that’s worth.",
1471B213441935962F6BBBAE236B7213,"Can be used to expand your own abilities, or those of your settlers in the inspect screen.",
147376304447E425DD92958F73B4E4E3,Base Container,
14774491436A8A3F1D99D99F7C13A092,Be careful around her…,
1479095942D8DF97091B16A4CDC00577,Can be crafted at Tanner's Hut,
147D378B45C7F38A0B22CE81E3A64AE1,There is no room for idle chatter because there is training to be done.,
1480F99547205AD08A8656BB7D9F2B6A,The news is spreading quickly in the Isles.,
148282234D2F03D4356C4DB33EB741AD,"People of Padstow!<cf><cf>Great Lord Ashbourne, unwavering in bravery and unmatched in merit, stands as a beacon of strength and loyalty to our land. Let pride fill your hearts as you recall his countless deeds and sacrifices for our community.<cf><cf>Recently, Lord Ashbourne led a daring expedition to repel a bandit raid on our village, bravely confronting the threat and ensuring the safety of our people. His heroic actions in the face of danger are a testament to his unwavering commitment to our protection.<cf><cf>Lord Ashbourne, deeply rooted in our village's history, defended our land with unwavering courage. From securing borders to guiding us through trials, he remains a steadfast guardian of our dreams.<cf><cf>His bravery knows no bounds, his dedication a model for us all. Let pride swell as we behold his banner, bringing tidings of peace and prosperity.<cf><cf>Long live Lord Ashbourne! May his legacy endure in our hearts! May pride always adorn the Padstow board as a symbol of our gratitude and respect for our esteemed leader.<cf><cf>In unity,<cf>The Council of Great Lord Ashbourne.",
148395CF4B30F6F7D5F2DF9B79A56CF6,"After speaking with Bernar he maintains his innocence. I could go and gather more proof of his innocence or evidence of his lies by talking with the trader outside the village, or I could go directly to Elder Marcel and report my findings.",
1483FA9E4433434DE22923A00B6239D3,Water Collector,
14849E9D42367549C0CA058BD3E797AE,Garden,
1485961D444B61E1003670860B459C41,"Don’t know about no cult. Ask again, we’ll have a problem.",
148690AC4AB22EA39458F6AB35360245,"I give what I can, but ale doesn’t fill an empty stomach.",
14897C294F16464625F2A2A19FD1D3C2,"Gareth Vander, a merchant, is furious about underground gambling dens cutting into the Duke’s taxes and his own profits. He suspects Garrick and Mira are involved and wants me to question them discreetly.",
148E79274D13546B2E0DC9ABAC21E5EF,The Newcomer's,
148F807B40CBB58FD04671AC7405FF4A,Innkeeper will cook basic meals. You can request a specific meal for additional Workforce.,
148FB26C4A52B40D51E24D989828B766,Examine,
149F346A4972CB5CCB8C7E993EA52D34,I still need more time.,
14A05EBB4E1C9D396DC0FEB7BCF628A2,"Have you thought it through? This is a very important task, and we won’t wait for you forever.",
14AB62EA4397ADA5C16BEA90ACAF5A12,Nearby Resources,
14ACAE744117EFD733597E9879D8B5F9,"Please, if you have any fighting ability, could you teach us?",
14AD15BB425B6CF8D75496A3F3F00994,With no problem. Consider it done.,
14AFC9ED406EF9B71C8B69A44CDAEEF1,"Beware the bandits on the roads, my friend. You'll want to arm yourself before you venture out.",
14B3A3184381BA6C40620098FC31B853,Goods For Better Future,
14B5521F4EE8337301CED6B0228E60C0,"Actually, I’ll come back later.",
14B5F8344E60FED5C2607B8817DCE665,Harnsey,
14B7D44E4CA2E90AAB07BA8175E9B5AB,Beckinsale,
14BA75AE4E9B5A7FCF999681CC7B55CD,Cpu,
14BC5C7646806374E44EB3B6576D0E0C,Maybe another time.,
14C68C604BCA145C996A85BDC31DCC9F,Hoofstock,
14CBA3FB4B1033603FEA44B6A8A1E115,"Ah Klara, she’s The Lady. She’s like a daughter I never had. I met her when she was still little. Her parents were killed by bandits, but she managed to escape them.",
14CC46DE4AE3B7DB59FBDA93D6FCD9BF,Oscar told me about the besigiled cloak that someone tried to sell you recently. Can you tell me about it?,
14CD319348C79A7D075F6CBB9ACA7B09,Daru the Elderbark Shrine,
14CE8D9A43916482B243DEBB21AE8E57,Master Weaponsmith,
14D302444A1B6A137B6DD9B36AEA39E8,Mancebo,
14D5337349B9335E63D6D08042762726,Can be smelted into Steel to produce advanced items. Can be mined from iron rocks in mountains with a pickaxe.,
14D60A0448D6AEA4253B9589A39DEDF3,What should I expect inside?,
14D615A6475507B4ECB180B8BA182A8D,Claim,
14D72C3442D14FC1479C17A640879A19,About your little problem...,
14D9BB8242A8FC39EE4AC590C588BF6F,"Sorry, i don't have enough space for you at the moment.",
14DA0DFE4F0876BFA6FC76B2A3C65194,So did you change your mind?,
14DBB6F14E12D802B556D4936EC20C6C,Get lost.,
14DEC39944A6D526B0CBAB91EF56D4A2,"The sooner we move, the sooner this farce is over.",
14DF54714430A299628ABCBA9DE3D4EC,Anything else?,
14E90A994AD000FAE2D3A397D5CCD006,Kill Imran,
14E9E34F4ACD1827285EDCB4B74A3755,"Greetings, vigilant guardian! Your strength fortifies our hearts.",
14EA4944427921A20F39999DCC5D1481,Anything else?,
14ED3AED4B5321A0374CF2B3A5B72E8D,You don’t seem like the others here. Why stay?,
14EE89794B63CE6AE3A2D196BAB8268A,Examine,
14F291B24620306E0AC20887F0A2BF06,Another one? I thought elections were quite rare in the Lowlands.,
14F2EF4449F69E86BB5AECBAB532563B,Good. I really don't like wasting time.,
14F596DD4AF5FC2A385DEC9CCBC45776,"The antidote is in the well, the water will be drinkable once again and the people of Horndean will not need to make unsafe travels anymore.",
14F5977D4238BFDBF4E8639EF66EE0A7,Shack,
14F6C10F46DC07F3FCDAB390A7175C71,Can be eaten raw or used to cook advanced dishes.,
14F91271470A840F20C8A0A9B1E04F32,"Yes, here’s pelt as a proof that it’s done.",
14FA221A467E5AE6F88D0180F398A35D,"I am truly grateful for this. Halmare needed people like Cassians in those tough times, honour could not win all battles alone.",
14FBF6094B43212CAF909BA1B7D6EBCF,I'll need to cross-reference this with other texts. Your help in uncovering more shrines would be invaluable.,
14FF8B354AEBD8E6BD5758A982F54199,Haerndean village,
15024DE041EB84015D3912947E01C325,I’m not interested. I’ll be going now.,
1507BD24413F49218A287D8EA0AE12D9,"The choice is yours. But if you take that path, understand this clearly. You will not rule this city.",
150C5C804BE4B7129FAE669247E22040,"Well, here’s hoping those other guild branch leaders are little less mental.",
150E1261474C2B1C0267FCB6D19A0904,That's everything I wanted to ask.,
1510CA834AEF5E345DCAEABC486152B6,Lancelin,
1512BD5245AE6EF39EF9A596384DB551,Go to Jeffrey Klok and get the special feed. Tell him that I sent you.,
151376194FFBF27AA59F909F27A3D5D0,Andrea,
1514DC3F46FEE51E87FCCB985A745D81,Is there anything I could help you with?,
1515C4BA414A3614936739A115BA318F,Gambling? Isn’t that a bit risky? Half the people here are already drowning in debts.,
151B8B604D5BAEE979815C988015D7F4,Fresh fruits and vegetables from their harvest.,
151D2FA044F5C21875F3A08F04B87378,"As your rebellion expands, Caravans provide automated logistics via specialized carts. By constructing a Caravan Post, you can establish routes between your settlement, outposts, and local villages. While you can trade with any discovered village, prices are significantly higher in those not yet liberated.<cf><cf>Routes follow a specific order of stops, with the first and last always predefined. To successfully exchange goods, your outposts need to have a Warehouse. Within the route settings, you can define Load and Unload rules to manage supply levels; any resource without a specific unload instruction will be automatically deposited at the final stop. Caravans can be dispatched manually or set to depart automatically once your desired capacity is reached.<cf><cf>Because shipments move physically across the world, assigning Guards improves safety when beyond your oversight, though they are not required. If a carrier falls in battle, a guard will attempt to man the cart. If no settlers remain to drive, the cart and its cargo are abandoned; you must retrieve them manually unless the loss occurs near your settlement, where recovery happens automatically.<cf><cf>For personal travel, Travel Signs allow you and your animals to move quickly, but they do not support followers. To relocate a war party, use a Riverdock, which accommodates both settlers and animals but must be built at the water's edge.",
151D6165446BBCBBB8719CA89F7DD35C,Kill guards,
151F8A194195606DE544C3B4A4E143E0,You are back. Have you sent my message to Isa?,
15248D8340A8125716828F9974B696A8, +L+ ,
1528D911450FE5952C618BB28E9ACC8A,A Cut Above quest item.,
1529B63D49BB42168EEDFAB97DC77CF8,The village rests easier with you watching.,
152D0C734528B366432C2D9D56497AEB,Robber's Beeches,
152E19FF43A99219A5771E82241A30B5,"But let's not forget how you have betrayed your own. All that trust, thrown into the sea.",
152E28E6433E6D3A3E96FFBE8FD69BA5,Andrea,
152E42A74687ABC0DEC2C9BC11F3BD8E,It’s always useful to have something sharp with you.,
1533483747B2F7235853258E3A4F6041,Thank you… I’ll continue to wait; maybe one day she’ll come back home.,
1534823B4B55283A49FBA583A8C861A4,"Farewell then, and stay out of trouble.",
1535D5D24420C282859CE59B60EC1D15,Padstow,
1536AB82442A2940BFFBACA0EC908CF2,Bye.,
1536EF1F49D6FB19E7EF4BB7EF9B3E35,Can be crafted at Weaver Loom,
153B783C4130D1E6854EECA83B6AF9D1,Carpenter's lost tools.,
1543129E42E408174CF82FB234C1E0A0,Stews,
154369B84F2F694EFE87759A0B170532,Dirty water,
15437B354E5BF7BD63FF1F94D542C711,This city’s rotting from the top down. Don’t expect my pity.,
1545528A4DB1F7F320B4DCB48220BE57,Zlytos Shrine,
154C1A214C701FFB23EFC98CE9D5F62B,These people probably haven’t even touched a bow before. What makes you think they’ll listen to me or learn anything useful?,
154E75BB492D8C7F9DD1D2B1E5A5674A,Gpu,
15535EEC4E6C01F68E8D0D80D325BB55,Monkey. Really? How hard could it be to take one girl from the small Falsgar caravan?,
15536ECD4911162841907297B88D38ED,Jaques,
1554FCC34559014A699A289A6698AFEE,I can't find it. Can you remind me where I should look?,
1555AF0445BF18EA028D5A8B694D763E,"You are only proving me right. Maybe you are afraid to fight by yourself? Trying to hunt me with your men, corner me like a wounded animal?",
1555EC674F42B8F73AC8D185FF133486,"We need skilled archers to defend Farnworth. Unfortunately, we lack an archery range and a proper trainer. Can I count on you to help us?",
155790ED487596A8A6730EAB3B0C2905,Regarding the ingredients...,
1557FF5D44874D9D59442884B81CB4AB,"It is done, Halmare stands united under one banner. The alliance between Viceroy Montverde and Cassandra’s Cassians will guide the Islands to a new age of prosperity.",
1559B73C4D3D3AEE7FB7B298ADDB3B5B,I should be going now.,
155CF0BA402F08D548096CBD454B6EE0,"Let’s not waste more time, we should go there.",
155D76DB44CAD32D982BD1A8E7CD3485,Peasant Clothing,
1560B727488C109DE1736598BB93F77F,Produces various fabrics out of raw materials. You can request a specific fabric for additional Workforce.,
1560C6864B436BF12BFF9ABA7E169F5F,"I hope she finds peace someday. If You don’t mind, I would like to ask you more questions.",
156469AD42A5AAC1C88A4D9F4DFC7D34,"So, tell me, are you ready to go to the Archives?",
15679BCE42246B0C7BE8C4ADEDCE8330,The Special Stall,
1568F25D44F3F79603C1798CE91AF90B,"First things first, you'll need materials. There's a copse of trees near Hearndean that's perfect. Good luck!",
156B78C1480DD2BBE369FBB1A13E7B2E,I knew it! It was dubious how often shipments would go missing if there wasn’t foul play in the midst. Find anything else?,
156BFBEC44A668DFEF26438FEF995B74,Dannick,
156CA1A549D81371A5F2F282E21FFD0D,Why do you want to go after Falsgar again?,
156D18AA4A1FA2A7FEEDF5A3E460BA93,"And as you see I have both, not one is missing.",
156EDD1E49B3D44C2BDCB5832D899B8D,"A new well? No small feat, indeed! For a job that size, let's say 20 gold per shovel oughta do it. They’re worth their weight in well, dirt, I suppose.",
15709C0C4A446BB4BFD22A9827DC3AD9,Bye.,
15714F624F4B93E3E42D2086C804E7B1,"Still, I am prepared if those Halmayans wanted to break our deal.",
1575EC754F0203C095E84EB30108CC02,"Innocent? You're as blind as they are. Maybe Mira might be innocent, but I don’t trust for a second that Garrick is innocent. You should look around his forge, I am sure you’ll find something.",
157CF229490702DE80250DB8ED2A8566,A small workshop where you can craft decorative items to make your village cozy and inviting.,
157D0AA14D89F6CE77A61C901A704631,The Sigil: Padstow,
1581B2FD44B5A3BF3F63658E8189F270,"Here take your reward for your trouble. And, I didn’t forget, your cut of the deal.",
158776344BC89C7589DF4DBA529501B7,I’m not here to judge. I just want to understand what’s happening between you and Tomas.,
15882FF649FFDD38E9E7859E7F84F8FD,Movement Speed Reduction,
158CC0184E9CCA4E292F308BB929D764,Cows,
1590B43F4813EC895FAD0C9236BDBF0A,Cassian's Dock,
1590D14B44F4559115A8A7BDCB42837E,It was no trouble. Just needed a little talking.,
15921C534C65225B235C6881E7633737,"While I admire your courage, I have to dissuade you from it. Thread carefully.",
159393DB4623FAD0677E249ED05F8CEB,"Ah, splendid! I knew I could rely on you. The feast will go on, and the Viceroy shall be pleased.",
1597903D491C8404EAA842BFC8FC24C2,I still need more time.,
15981D594834E59BC0733CA56DA0F71B,Put,
159BFE9941A4CF62A410129C395D3714,I can’t do this right now.,
15A13EE94F715CF060A85A97AB36B769,Animal Remains,
15A331244BF4855ABA511CB95DB0C6EA,"You have no buissnes here, go away.",
15A441154D373AA745465DA801918DFF,Can be crafted at Workshop,
15A5E8304DB47F79A32940AD68DABA73,"Good to see you, but I’m in the middle of my rounds.",
15A82B754302AC84C42CA098828F1370,"Requires Skill Level 5. Can be used to expand your own abilities, or those of your settlers in the inspect screen.",
15A8724D4F5AC74068124E938554C8BE,A little something I grabbed when we were travelling to one of the distant lands.,
15A971AD417C9F3773C210A2E12E720A,Village Log Cutting Station,
15AAE5A64D9B32C14ED21B857F71386C,Oh. Well. That’s rather devastating.,
15ACA769400BCCCDDFF427831601F2C9,Goat,
15AD05B3448E04BF1C18A2A99CD15B27,Godfreed,
15AD8A88485B117A09C4478968ABACC7,"Yes, I think it should.",
15AF34FB477778DFFA0624937EC9D85E,Soups,
15B0BE5A46A0AA168A92EF8BE519F999,"Alright, alright. Where did you see this ghost?",
15B3492A4838F675520403AC513C10A0,Kill the mad warrior,
15B87F214D3B28DDCFAC98A031C9B41B,"After learning of Ashbourne's request for a meeting, I felt a mix of shock and caution. Amelie warned me that facing him could be deadly, suggesting I either ambush him or seek justice through a trial. Determined to gather my forces, I prepared for the critical choice ahead, knowing the fate of the region hung in the balance.",
15B9E0144D92A08E99BEBB9F59EBBB0F,Allows the wearer to carry 30 arrows of one type,
15B9E56541218D9C6EC66D8586B9D1A6,I might not have too much to offer but I can give you some advice as gratitude.,
15C056B54C95FDED57FE01A1B55BB16D,Construction Site,
15C0F8A3470C5D934A441986336F6DB4,Manage Crafting Planks,
15C3DD5E41BBB6A1CFD05FAC64C8A561,"A practical and solid seat, offering a place to unwind.",
15C9F0204B9843C6553C968C38F59556,"(She is former priestess of the who was exiled to work in the lighthouse after being accused of heresy/witchcraft. Spends her days tending to the lighthouse, muttering to herself about the “coming storm”. She is obsessed with the stars and believes they holds a key to an ancient prophecy. She also believes they influence the people’s way of being and have a deeper meaning. Some say she’s mad, but others whisper that she might be the only one who can prevent a looming catastrophe.)",
15CC9A714D4FA68C6A0C25B793C274F1,I found a note on a body. Can you translate it?,
15CD93CD439ED4266B14A1BA77D18B5A,"The people have endured much hardship, and now they seek joy and respite. Perhaps you could speak with the innkeeper.",
15CE14A74DBDFE0FAD2BB7B583D5FFA5,"Damn those Halmayan, I hate them so much.",
15CF5B62482310725D8B9F96611E4D44,Maybe your husband got some illness from someone else?,
15D2833E4EDEB63B6BA2AF9A6EC33CE0,"Because Cassandra ordered it, and she sees the bigger picture. You think we enjoy your company?",
15D5176F4E0F12669EE5979740BE7446,Bandaging Threshold,
15D958B149E250E859FA5BA8F12FF394,Warlington,
15DB13B840ED7D43DA3E99BBC02DFB6A,I should have known. She had been acting very strange lately. But a Cassian of all people. That deepens the wound even more.,
15DE70F2404A3C453F2546833700DE06,"Involved? No, we just stumbled upon this mess. Wild animals don't pick sides.",
15DFFE0C4AD6C3EC57294481B809302B,"And what becomes of you, Montverde?",
15E1546647E30875689435AD5F1C8ABC,"Alright, give me the money, and I’ll keep my mouth shut.",
15E69B1E49AE30B5C3004EABE23FB0DB,I sustain myself by trading the fish I catch with visitors who come to my humble cottage. It's a simple but fulfilling way of life.,
15E6B4F44D6FFADAFFE4D197A34D944B,I’m looking for a hunter named Lubomir.,
15E8877E4BFE286AAFA65FB88BF09F0D,warriors guild3 quest,
15EB659B426F86E8295237AFB9012C71,"Yes, he’s one of the hunters from the village. Very young. What a shame.",
15EC278B4CC1688A9813D0B0F9BE5DE3,I’m thinking about joining the guild. I’ve been toiling away trying to reach the entry requirements.,
15EDE8734F3414FC9A90E8957E4C1D99,"There’s been whispers lately, some weird things are happening at night near Haerndean.",
15EF54174FA7A2FBE01AC693EAA739EF,Heard you wanted to speak with me?,
15F01EC04009BD4DE54DF8990149105A,"A practical and solid seat, offering a place to unwind.",
15F4EE894672BAEA20E68181A3B43A18,"If I were you, I would avoid that village like the plague for a while. But I think you and I are very different people.",
15F6957C42C77A28DC1393B53D5476F1,Not interested at the moment.,
15F9D33F46CD375AC57FB3877B142E2B,Examine,
15F9D97A4B58EA295F9161BF417F6C8C,About the bandages…,
15FA93264DC553158D6768BE0751FC66,Good day to you friend.,
15FB434C42FA1EE87FBE34A4CEFF9414,What about you? How did you become part of the guild?,
15FED9544BAE2CBAB639BC93C35ACAAD,So your other task will be leaving a little surprise on the ship that the Falsgar filled up with grain.,
160016D3412CA7DF93C5CF9C95502ECC,Can be crafted at Advanced Workbench,
1600215748F5D4FC4845AF9D43D48CCD,This act will put everyone at great risk. Stay bold and brace yourself for their severe response.,
16024FE84874F9A015ED93BC8145C5E9,About the glue....,
1603E5DE4015526731850294363C675B,Then help me clear this up.,
1604D131478028CF1B9D66B3C9DED8B3,"Can be eaten raw, dried, or can be a part of the dish",
1605AFB94FEBBB33B7C5628BB8700481,Anzo Milton.,
160683F240E0F57C1903F682C98F2AE7,Min capacity,
160B671147DF25ACF1C7CC9BB943C95D,Cecilio was still waiting for me outside. My decision certainly made an impression on the Cassians that they won’t forget so quickly.,
160CF44C4F86E4B2BE109EA391F7942E,Searle,
16102ED846A9FD36581BDB8D8B796CCD,"You're taking the place of someone who wants to work and earn a living. If you keep this up, you should leave town… or I might make you.",
161466BE4FAD5165F3531792FD59BF99,Sounds like he only serves himself.,
16165E714C7337E8EA1481B95E9D640B,Is there something interesting I should check?,
1616DD6E458C627B634932B84C96C032,I don’t have any answers. Now please leave me alone.,
161A18564B999A7AE7CE0E856077A448,Interrogate the warden,
161D367F43D2D89774DE39BB1A92ED7E,Wait for me Peckleton! I will come back in a minute!,
161DD70B40507A7A6354D598CC4ECCED,I’m not gonna side with the traitor.,
161E4FC74A472B009A179D80FBF1BC0E,"A fellow Lowlander! Sorry, I got a bit distracted, so what exactly did Amelie say?",
16220C274515A6A9CEC1ABA3631231D8,"Tell me, stranger, where are you from? Lowlands maybe? Your face looks weirdly familiar.",
162265E14702DEFE88F46BABC3A8C47D,"Here, you’ve earned this. Perhaps together, we'll see a day when those who've wronged us are held accountable…",
16275E1246020CE65BEC4AAE6568E397,Talk to {Npc} at Sol Winery,
16290BD54CA56D9FE2FC0281E57B48F5,Position for defense,
1632719842F99297E5EE2E8869880A89,Here’s your reward.,
163385804425A63555D258AB74544DBD,"Helga Briar’s husband went missing, and I was asked to find him. What is even more suspicious is the fact that I am not the first who went after him.",
1633A7AA42C21D271821E3946D3C397A,Read the Inscription,
16345B4145D57D9718436E822BE54401,Is that all or do want to talk about something else?,
16390762471A6D51E3D6898EE4E2391A,I'm a friend of Marlin Fulke; he wanted to see you again after all these years and support your crusade.,
1639ED964FEEBAEC7376C093F92C0F53,"If you want my advice, visit the gardens, the view of the sea is quite beautiful.",
163ADF3A45E1B50F32AAD7A9515765AB,"Thank you, Elder Miron. Be seeing you.",
163D43DD4E15B0E6E3C6F9A5B7127B08,This book.,
163F4FEF48C302126A7D9B904CB55168,Old Chest,
1642364E486731A5FD5ED5A02E0581B5,Allows the wearer to carry items on your back.,
1645FD194AE34DAEF47D1AAE14722654,"They found me, didn’t they? Just showed up to my workshop one day.",
1646BF924DAA6B38B66EB298672A4D75,"Yes, he won’t be bothering you again.",
164D8E8B40769071D3E2E6BC563890B4,"Fortune? Hard work and a sharper wit than the next man. I trade in things people want but don’t understand: spices, glass, silks. It’s easier to make a coin when everyone else is thinking small.",
164F869547867D11647045A2839A32DC,"Some villagers might know something about the mysterious sigil I found, but I’ll need to earn their trust first. I should talk to people around the Lowlands and see who needs help.",
1650AB8347E5BD0E0A5EF287BF80A296,"No, not yet.",
16524C6348E4B497963388868BD4B679,"For a good coin, I will retrieve your goods.",
1656490641BA220881977F81B7787626,Thank you for your time.,
165D1FA54AEDCF05808EDABA1EECE4BE,"So in the message, the farmer asked us to deliver the milled grain to his new stockpile, which is a little bit outside the village. I will point it out on your map.",
165D831E43F63C8C3CC931AE8C0CDEB3,Let’s hope it stays that way. Bandits have a nasty habit of crawling back.,
165DFEAD46B64297008F368A8B8AA3B9,Water Mill,
165ECE77494F616066F4939846CBA55C,Daily dose,
16624AC24A3C8651F6C6C18E59C81A5E,You again? What is it now? I've already thanked you for the fertilizer business.,
1663E5A4404215D444F0518D3C08D18E,Host New Game,
166605A14AD0D281853C9D814B0598B5,"Because timing is everything. Striking too soon would’ve rallied his forces, striking too late would’ve seen our people broken.",
1666FE304B590C09D148D39B4C62A161,Drying Rack,
16678E5742A2C1777E954794C2D990BF,Can you go and check with Aleks Amanita? I think he might know how to cure me.,
1669D51B4F7C24B44CA020B7B13DA5A8,Copper Ingot,
167024714110D9780DAB7F8406B3AA94,"Bandits harass people all the time, why should I prioritize your problem?",
1670810E48F04BB787C61098AE7C6B76,Collect,
1670A18046EC541E881548BA84B8FE2D,"Here, it’s yours, now leave him alone!",
1671C02945B8860165C7BBBCC229E53B,Do you need anything else?,
1673D0EF47DFB85E09567AAF24AF2E90,"Ah, you've done well! The grain is good, and the honey is sweet. I’ll start brewing right away.",
16741D764D8F722D6875429A701E6468,Mysterious Bottle quest item.,
16758B6E459ADD08C21731A0E06077ED,"No. It changes when the powerful are pleased, and after tonight, they will be very pleased. You’ve done well for yourself.",
1675E8564D3B452635F06E82101C829F,I can safely say that this was not the best way of spending your gold.,
167A97FF45A62545A36F57A95B11551D,Darek told me you were looking for a job. A way to help us. I have something for you.,
167B64C04A4B329FC45E19956E9D9365,Padstow,
167BEFBD46DEE9711C97E08E90A1EEFE,I'm eager to hear about any other shrines you find.,
167C04B3419242E20199C1AFB8E5CB9C,"Not right now, maybe later.",
16800A4B4FA36516B6578285371A6005,Buy 1,
168509AF43DFE1315DDD638D72A593BF,"Now you know. Visit me in our village, Rustshore. I will have some work for you. Farewell.",
